word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
"siła",U,4.8461537,2.2307692,1.5769231,3.1153846,1.3076923,4.2405434,7.1090875,7.733065,6.365163,7.930718,5.2788696
krwawy,U,1.4230769,3.6153846,3.8846154,5.0,3.6923077,8.972553,7.495541,7.2424846,6.2079725,7.506203,6.829018
dzwon,U,2.9615386,1.4230769,1.6153846,1.8846154,1.3076923,4.963155,6.6794972,6.388436,6.2451596,6.80481,3.0466542
"wzdychać",U,2.8076923,2.2692308,3.3846154,2.2692308,1.5769231,6.011501,6.58643,5.5873165,6.7675953,7.2408214,4.5719028
ofiara,U,1.4230769,3.9615386,5.0,4.730769,3.1538463,9.1683655,7.6210246,6.446942,6.896326,8.219342,7.204002
"podarować",U,5.1923075,1.1153846,1.6923077,1.7692307,1.0769231,2.644063,7.6645803,7.226363,7.169586,7.699058,4.732216
"reformować",U,3.4230769,2.3076923,1.9230769,3.1538463,1.8076923,5.253631,6.6194234,7.048474,5.8771787,7.1817474,4.648161
nowoczesny,U,4.0,2.1538463,1.6538461,2.6538463,2.0,4.5362425,6.7155805,7.2001452,6.262885,6.8997326,4.5282106
"wierzyć",U,5.0384617,1.6153846,2.1153846,2.3461537,1.2307693,3.551956,7.522983,7.0811877,6.8371754,7.817334,5.113405
slogan,U,2.1538463,2.3076923,1.5769231,1.5769231,2.1153846,5.8626943,5.8586917,6.6769457,6.671028,6.0261297,2.9402995
